#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
212779861,0.04446445395212,0.0407414042020354,0.67687595712098,,0.00543085428095455,0.767836,0.47,2,2762952,2762510,442,0.43,0.424447,1,2762552
25485221,0.0261635897309522,0.0319657622441125,0.66156202143951,,0.0053022505650287,0.028405,0,1,156709,156277,432,0.04,0.0316377,1,156297
73397301,0.0286119952154108,0.0386118313935958,0.719754977029096,,0.00525726048618996,0.791638,0.79,2,849572,849102,470,0.8,0.796545,2,849122
262828661,0.0216938659063896,0.0195914668104473,0.656967840735069,,0.00479706715618136,0.423865,0.25,1,3443819,3443390,429,0.23,0.200456,1,3443435
158276601,0.0747971193891498,0.0766261337798099,0.664624808575804,,0.00349394650000531,0.447578,0.25,1,2017671,2017237,434,0.25,0.25139,1,2017289
4625101,0.0105500002843456,0.0229425244137334,0.647779479326187,,0.263826491092177,0.000173492,0.04,1,47412,46989,423,0,1.41669E-16,1,46999
64994281,0.0836345817370485,0.0527950310559006,0.805513016845329,,0.00365056290652887,0.0477672,0.89,1,693091,692565,526,0.94,0.93472,2,692634
47803921,0.0627410540124013,0.0399125965286917,0.76416539050536,,0.00528824421972985,0.928327,0.75,2,718825,718326,499,0.76,0.760269,2,718377
11046701,0.00378680143386026,0.00128050874212074,0.656967840735069,,0.633462432223083,0.2116,0.16,1,68774,68345,429,0.05,0.0500293,1,68355
240159201,0.0634723909866225,0.0557246790653788,0.705972434915773,,0.00451333255520304,0.949043,0.77,2,3273731,3273270,461,0.79,0.788945,2,3273352
3912901,0.0037217052397318,0.00127948004866784,0.653905053598775,,0.223392718822618,0.0256995,0.09,1,45075,44648,427,0,0.00483735,1,44664
67854421,0.124767263097434,0.0628834986928499,0.77947932618683,,0.00282896342433921,0.0909791,0.03,1,735775,735266,509,0.04,0.040044,1,735363
114110141,0.180664117666015,0.185015838331956,0.865237366003063,,0.00282896342433921,0.205147,1,1,1391756,1391191,565,0.92,0.9304,2,1391288
214178981,0.0674192979695826,0.0759901174484146,0.747320061255743,,0.00428933713909786,0.947497,0.75,2,2941555,2941067,488,0.76,0.756924,2,2941107
12804901,0.00279318404555596,0.000628460755344772,0.658499234303216,,0.733075135553834,0.223677,0.03,1,74510,74080,430,0.05,0.0396018,1,74098
271379881,0.117434936979529,0.112957990287715,0.739663093415008,,0.00306165975191791,0.244829,0.09,1,3549685,3549202,483,0.08,0.0711875,1,3549271
302908581,0.0563199608740406,0.0981027700231633,0.669218989280245,,0.00404433220504441,0.224028,0.03,1,3969968,3969531,437,0.04,0.0419608,1,3969556
229540621,0.128096381796572,0.118666174785659,0.800918836140888,,0.00274397037445752,0.942779,0.81,2,3123709,3123186,523,0.78,0.769561,2,3123260
189805301,0.0999761149666273,0.0542337830024369,0.750382848392037,,0.00372473287140689,0.0340901,0.01,1,2458426,2457936,490,0.02,0.0226803,1,2458015
263440401,0.0393320152333435,0.0382927590622572,0.64624808575804,,0.00331950383582866,0.0724225,0,1,3452612,3452190,422,0.02,0.0196454,1,3452200
142553861,0.183673631870975,0.169525133818829,0.704441041347626,,0.00219082584382925,0.0482527,0.03,1,1798005,1797545,460,0.07,0.0634131,1,1797621
16565901,0.00705163906302426,0.00447008098300528,0.649310872894334,,0.00766613966024002,0.00859262,0,1,90259,89835,424,0.04,0.0312044,1,89847
172543721,0.149164118613834,0.086259670605262,0.797856049004594,,0.0031416656940038,0.0613904,0.05,1,2222220,2221699,521,0.06,0.0534081,1,2221807
235869761,0.0601180603078136,0.0498192692019822,0.698315467075038,,0.00498307566609722,0.0386364,0.03,1,3080108,3079652,456,0.04,0.0370537,1,3079696
66603201,0.0460457948123982,0.0431998041935221,0.64624808575804,,0.00483802510531286,0.0613854,0.05,1,716075,715653,422,0.03,0.0247367,1,715691
125933501,0.0859381605112155,0.0929539819304674,0.70750382848392,,0.00444181530723767,0.0660604,0.65,1,1738265,1737803,462,0.73,0.77051,2,1737845
215439981,0.0708223465339215,0.0768854354743164,0.699846860643185,,0.00490190252856976,0.0672681,0.05,1,2797345,2796888,457,0.08,0.0767083,1,2796931
46627161,0.0909871911769445,0.0955228777876706,0.727411944869832,,0.00296510085629702,0.292276,0.83,1,704448,703973,475,0.85,0.90232,2,704080
302280781,0.0535866410629219,0.0783179797879473,0.673813169984686,,0.00246999777171779,0.0470978,0.23,1,3960353,3959913,440,0.19,0.224038,1,3959945
7394201,0.0108204698527279,0.0125999162856362,0.64624808575804,,0.423547637490318,0.00423258,0.1,1,56661,56239,422,0,0.00000284476,1,56249
207733321,0.0814843600422348,0.0912169088825906,0.741194486983155,,0.00426673599100198,0.917625,0.73,2,2639957,2639473,484,0.76,0.751873,2,2639509
131561521,0.0698076117430956,0.0746975109165659,0.669218989280245,,0.00325063930477595,0.205938,0.25,1,1646626,1646189,437,0.25,0.284597,1,1646270
302350861,0.0232113237805837,0.0215926302982147,0.647779479326187,,0.00269229544899886,0.0441304,0.03,1,3961624,3961201,423,0,0.0148288,1,3961298
258694661,0.381760554436076,0.361112194983523,0.750382848392037,,0.00217989665014908,0.225631,0.67,1,3385780,3385290,490,0.67,0.75064,2,3385377
299036661,0.0510085739687258,0.0457514960395302,0.690658499234303,,0.00436085438706323,0.0969358,0.11,1,3918295,3917844,451,0.08,0.0764816,1,3917881
94515481,0.091260542114432,0.0973982923688682,0.727411944869832,,0.00409048947932472,0.446521,0.23,1,1108850,1108375,475,0.24,0.234453,1,1108428
66547721,0.0584229811933797,0.0544196572677192,0.647779479326187,,0.00474380060057511,0.0347486,0.03,1,715550,715127,423,0.05,0.0437857,1,715161
241468861,0.0335525954121779,0.031068493247869,0.647779479326187,,0.00269187101429284,0.0340286,0,1,3155985,3155562,423,0,0.0144855,1,3155608
30469981,0.0488234725426376,0.045681438468169,0.705972434915773,,0.00453264433432722,0.911682,0.83,2,386577,386116,461,0.79,0.792861,2,386156
42988021,0.0587052416274428,0.058916643905346,0.725880551301685,,0.00352089810383795,0.0265521,0.97,1,557613,557139,474,0.91,0.945846,2,557188
69930221,0.0377819523929581,0.0356757983902721,0.698315467075038,,0.00259202274970024,0.913884,0.83,2,1031219,1030763,456,0.83,0.776807,2,1030893
332587741,0.0570120581505781,0.0523908254732877,0.704441041347626,,0.00484099614825504,0.924579,0.85,2,4593039,4592579,460,0.81,0.795742,2,4592699
11831881,0.00333175363535895,0.0139542621607529,0.649310872894334,,0.677924089852827,0.225483,0.27,1,71384,70960,424,0.07,0.0728798,1,70970
327895741,0.107913149469127,0.102367236468247,0.704441041347626,,0.002596160988084,0.945914,0.77,2,4330308,4329848,460,0.77,0.77396,2,4329888
15746841,0.0314524185491927,0.0312098499171724,0.649310872894334,,0.00674161476183908,0.000767998,0,1,85138,84714,424,0.04,0.0366467,1,84726
345855941,0.0655797712723709,0.0938631341097013,0.695252679938744,,0.00315747588680326,0.223764,0.15,1,4584442,4583988,454,0.08,0.0942398,1,4584028
7587841,0.00258125176531249,0.00120738814732309,0.652373660030628,,0.434546862896979,0.0280892,0.08,1,57176,56750,426,0,0.0120231,1,56773
