ack_ewma(ms),classes,freq,,,
15.6504,14.9,2,,,
7.46017,14.92,4,,,
3.58407,14.94,3,,,
94.4336,14.96,2,,,
38.9734,14.98,4,,,
16.7894,15,5,,,
7.31575,15.02,6,,,
18.5263,15.04,5,,,
8.61052,15.06,1,,,
4.64421,15.08,4,,,
3.05768,15.1,3,,,
2.42307,15.12,8,,,
2.16923,15.14,5,,,
1.46769,15.16,4,,,
4.18708,15.18,2,,,
2.87483,15.2,5,,,
2.34993,15.22,6,,,
6.62118,15.24,4,,,
3.84847,15.26,7,,,
2.13939,15.28,8,,,
5.05576,15.3,4,,,
3.2223,15.32,5,,,
2.48892,15.34,5,,,
2.19557,15.36,4,,,
1.47823,15.38,6,,,
3.59129,15.4,1,,,
2.63652,15.42,2,,,
2.25461,15.44,2,,,
2.10184,15.46,4,,,
1.44074,15.48,2,,,
2.97629,15.5,4,,,
2.39052,15.52,2,,,
2.15621,15.54,4,,,
2.06248,15.56,1,,,
1.764,15.58,6,,,
1.9056,15.6,4,,,
1.36224,15.62,2,,,
7.7449,15.64,4,,,
4.29796,15.66,3,,,
2.91918,15.68,4,,,
82.7677,15.7,2,,,
34.3071,15.72,3,,,
14.9228,15.74,6,,,
7.16913,15.76,1,,,
3.46765,15.78,4,,,
94.9871,15.8,8,,,
39.1948,15.82,5,,,
16.8779,15.84,0,,,
7.35117,15.86,3,,,
19.7405,15.88,3,,,
9.09619,15.9,3,,,
4.83847,15.92,6,,,
3.13539,15.94,3,,,
2.45416,15.96,3,,,
1.58166,15.98,6,,,
1.83266,16,3,,,
1.33307,16.02,2,,,
1.73323,16.04,3,,,
2.14677,16.06,4,,,
2.05871,16.08,4,,,
4.42348,16.1,4,,,
4.42482,16.12,4,,,
2.96993,16.14,3,,,
2.38797,16.16,1,,,
2.15519,16.18,2,,,
2.06208,16.2,7,,,
2.17689,16.22,6,,,
1.47076,16.24,2,,,
1.7883,16.26,9,,,
1.91532,16.28,7,,,
2.58794,16.3,3,,,
82.6352,16.32,4,,,
34.2541,16.34,7,,,
