Protocolo,Total_Tx,Throughput_Med,Throughput_Norm,Fluxo_ID,Fluxos
Vegas++CNN13,71.1570358276367,0.0395316865709093,0.00414526000575774,Fluxo163,20
Vegas++CNN13,78.436466217041,0.0435758145650228,0.00456932392729304,Fluxo164,20
Vegas++CNN13,75.9484710693359,0.04219359503852,0.00442438552927877,Fluxo165,20
Vegas,9.9034538269043,0.00550191879272461,0.000576926660730723,Fluxo166,20
Vegas,9.9957389831543,0.00555318832397461,0.000582302741435586,Fluxo167,20
Vegas,9.73618698120117,0.00540899276733398,0.000567182514453158,Fluxo168,20
Vegas,9.92364120483398,0.00551313400268555,0.000578102678384911,Fluxo169,20
Vegas,10.2062644958496,0.00567014694213867,0.000594566925543556,Fluxo170,20
Vegas,9.79242324829102,0.00544023513793945,0.000570458563632684,Fluxo171,20
Vegas,9.74772262573242,0.00541540145874023,0.000567854524541266,Fluxo172,20
Vegas,9.82703018188477,0.0054594612121582,0.000572474593897008,Fluxo173,20
Vegas,9.88903427124023,0.0054939079284668,0.000576086648120588,Fluxo174,20
Vegas,9.49970626831055,0.00527761459350586,0.000553406307646945,Fluxo175,20
Vegas,9.86163711547852,0.00547868728637695,0.000574490624161331,Fluxo176,20
Vegas,9.79674911499023,0.0054426383972168,0.000570710567415724,Fluxo177,20
Vegas,9.50259017944336,0.00527921676635742,0.000553574310168972,Fluxo178,20
Vegas,9.55594253540039,0.00530885696411133,0.000556682356826471,Fluxo179,20
Vegas,9.19689559936523,0.0051093864440918,0.000535766042834112,Fluxo180,20
Vegas,9.67850875854492,0.00537694931030273,0.000563822464012618,Fluxo181,20
Vegas,9.12335586547852,0.00506853103637695,0.000531481978522424,Fluxo182,20
Vegas,9.24303817749023,0.0051350212097168,0.000538454083186544,Fluxo183,20
Vegas,9.17815017700195,0.00509897232055664,0.000534674026440937,Fluxo184,20
Vegas,9.15652084350586,0.00508695602416992,0.000533414007525735,Fluxo185,20
NewReno,10.4557228088379,0.00580873489379883,0.000609099143698889,Fluxo186,20
NewReno,10.1067695617676,0.00561487197875977,0.000588770838533625,Fluxo187,20
NewReno,9.95680618286133,0.00553155899047852,0.000580034707388222,Fluxo188,20
NewReno,10.3374824523926,0.00574304580688477,0.000602211040295783,Fluxo189,20
NewReno,9.7419548034668,0.00541219711303711,0.000567518519497212,Fluxo190,20
NewReno,10.3677635192871,0.00575986862182617,0.000603975066777066,Fluxo191,20
NewReno,10.4023704528809,0.00577909469604492,0.00060599109704139,Fluxo192,20
NewReno,10.0591850280762,0.00558843612670898,0.000585998796920179,Fluxo193,20
