#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
3377421,2.3443e-16,3.44599e-16,600,135780,0,0,1,96111,95511,600,2.6245e-19,4.13197e-19,0.688508,1
3380341,1.17215e-17,1.72299e-17,600,140160,0,0,1,96111,95511,600,1.31225e-20,2.06598e-20,0.688508,1
3400621,570,570,600,70920,0,0,1,96711,96111,600,0.638129,0.683468,0.688508,1
3405001,35.15,35.15,600,58400,0,0,1,96718,96118,600,0.0393513,0.0421472,0.688508,1
3484681,1515.11,1515.11,600,1460,0,0,1,98311,97711,600,1.6962,1.81671,0.688508,2
3487601,645.755,645.755,600,144540,0,0,1,98911,98311,600,0.722939,0.774304,0.688508,1
3516801,602.288,602.288,600,101140,0,0,1,99511,98911,600,0.674276,0.722183,0.688508,1
3519721,30.1144,30.1144,600,93860,0,0,1,99511,98911,600,0.0337138,0.0361092,0.688508,1
3549141,1.50572,1.50572,600,93860,0,0,1,99511,98911,600,0.00168569,0.00180546,0.688508,1
3557901,4.82529,4.82529,600,64840,0,0,1,99516,98916,600,0.00540203,0.00578584,0.688508,1
3581261,0.241264,0.241264,600,67580,0,0,1,99516,98916,600,0.000270101,0.000289292,0.688508,1
3582721,0.0120632,0.0120632,600,47140,0,0,1,99516,98916,600,1.35051e-05,1.44646e-05,0.688508,1
3584181,0.000603161,0.000603161,600,47140,0,0,1,99516,98916,600,6.75254e-07,7.2323e-07,0.688508,1
3624001,1515.25,1515.25,600,1460,0,0,1,101111,100511,600,1.69636,1.81689,0.688508,2
3626921,645.763,645.763,600,148920,0,0,1,101711,101111,600,0.722947,0.774312,0.688508,1
3629841,32.2881,32.2881,600,153300,0,0,1,101711,101111,600,0.0361474,0.0387156,0.688508,1
3632761,1.61441,1.61441,600,157680,0,0,1,101711,101111,600,0.00180737,0.00193578,0.688508,1
3635681,0.0807204,0.0807204,600,162060,0,0,1,101711,101111,600,9.03685e-05,9.67891e-05,0.688508,1
3638601,0.00403602,0.00403602,600,166440,0,0,1,101711,101111,600,4.51842e-06,4.83946e-06,0.688508,1
3641521,0.000201801,0.000201801,600,170820,0,0,1,101711,101111,600,2.25921e-07,2.41973e-07,0.688508,1
3644441,1.00901e-05,1.00901e-05,600,175200,0,0,1,101711,101111,600,1.12961e-08,1.20986e-08,0.688508,1
3647361,5.04503e-07,5.04503e-07,600,179580,0,0,1,101711,101111,600,5.64803e-10,6.04932e-10,0.688508,1
3650281,2.52251e-08,2.52251e-08,600,183960,0,0,1,101711,101111,600,2.82402e-11,3.02466e-11,0.688508,1
