#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),rtt_ratio_real,ack_ewma,send_ack_ewma_norm,rtt_ratio_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
10507621,1723.25,1632.9,1728,1460,2.6832298136646,0.931954982775125,0.873456113229953,0.935064935064935,0.931898,0,2,10996906,10995178,1728
10520761,1482.96,1387.25,1488,1460,2.31055900621118,0.802003169160713,0.74205523490615,0.805194805194805,0.729212,0,2,11010586,11009098,1488
10522221,1556.15,1482.96,1560,1460,2.42236024844721,0.841585229331502,0.793251563277293,0.844155844155844,0.753685,0,2,11012146,11010586,1560
10526601,1702.5,1673.99,1704,1460,2.64596273291925,0.920733125300827,0.89543560474359,0.922077922077922,0.903356,0,2,11017090,11015386,1704
10528061,1749.53,1702.5,1752,1460,2.72049689440994,0.946167532867874,0.910685916329227,0.948051948051948,0.943342,0,2,11018842,11017090,1752
10536821,1537.56,1567.16,1536,1460,2.38509316770186,0.831531526659348,0.838291066451989,0.831168831168831,0.761252,0,2,11028922,11027386,1536
10544121,1725.48,1677.53,1728,1460,2.6832298136646,0.933160994445857,0.897329189556398,0.935064935064935,0.936029,0,2,11037106,11035378,1728
10567481,1146.05,1032.99,1152,1460,1.7888198757764,0.619798060646704,0.552557676774701,0.623376623376624,0.404309,0,1,11061490,11060338,1152
10570401,1219.25,1128.9,1224,1460,1.90062111801242,0.659385528941576,0.603860987338658,0.662337662337662,0.476289,0,1,11063842,11062618,1224
10579161,1506.11,1394.16,1512,1460,2.34782608695652,0.814522976415171,0.745751469667874,0.818181818181818,0.726169,0,2,11072122,11070610,1512
10580621,1534.51,1506.11,1536,1460,2.38509316770186,0.829882048813728,0.805634752095514,0.831168831168831,0.764468,0,2,11073658,11072122,1536
10586461,1725.47,1677.47,1728,1460,2.6832298136646,0.933155586321773,0.897297094898554,0.935064935064935,0.923362,0,2,11080282,11078554,1728
10587921,1773.47,1725.47,1776,1460,2.75776397515528,0.959114581924968,0.922972821173916,0.961038961038961,0.939345,0,2,11082058,11080282,1776
10595221,822.909,1410.18,792,1460,1.22981366459627,0.445039398183952,0.754320743312276,0.428571428571429,0.231139,0,1,11089618,11088826,792
10618581,1485.47,1437.48,1488,1460,2.31055900621118,0.803360608305797,0.768923812631388,0.805194805194805,0.711602,0,2,11107786,11106298,1488
10620041,1510.67,1485.47,1512,1460,2.34782608695652,0.816989080997475,0.794594189797108,0.818181818181818,0.734641,0,2,11109298,11107786,1512
10621501,1534.73,1510.67,1536,1460,2.38509316770186,0.830001027543576,0.808073946091673,0.831168831168831,0.791856,0,2,11110834,11109298,1536
10625881,1725.47,1677.36,1728,1460,2.6832298136646,0.933155586321773,0.897238254692506,0.935064935064935,0.922599,0,2,11115874,11114146,1728
10633181,1219.69,1593.71,1200,1460,1.86335403726708,0.659623486401272,0.852492952548048,0.649350649350649,0.472695,0,1,11124034,11122834,1200
10634641,1086.98,1219.69,1080,1460,1.67701863354037,0.587852271682522,0.652425553766576,0.584415584415585,0.435078,0,1,11125114,11124034,1080
10646321,1485.47,1437.47,1488,1460,2.31055900621118,0.803360608305797,0.768918463521747,0.805194805194805,0.723374,0,2,11135674,11134186,1488
10647781,1533.47,1485.47,1536,1460,2.38509316770186,0.829319603908992,0.794594189797108,0.831168831168831,0.73935,0,2,11137210,11135674,1536
10653621,1747.19,1655.7,1752,1460,2.72049689440994,0.944902031832218,0.88565208321075,0.948051948051948,0.926367,0,2,11143810,11142058,1752
10660921,1536.72,1550.39,1536,1460,2.38509316770186,0.831077244236292,0.829320609584535,0.831168831168831,0.776478,0,2,11152306,11150770,1536
10666761,1725.36,1675.14,1728,1460,2.6832298136646,0.933096096956849,0.896050752352271,0.935064935064935,0.922134,0,2,11158858,11157130,1728
10684281,1488.85,1504.91,1488,1460,2.31055900621118,0.805188554246189,0.80499285893863,0.805194805194805,0.72974,0,2,11176906,11175418,1488
10701801,1725.48,1677.62,1728,1460,2.6832298136646,0.933160994445857,0.897377331543165,0.935064935064935,0.925933,0,2,11197234,11195506,1728
10712021,1197.11,1142.22,1200,1460,1.86335403726708,0.647411942219602,0.61098600138007,0.649350649350649,0.495185,0,1,11208178,11206978,1200
10720781,1508.22,1436.39,1512,1460,2.34782608695652,0.815664090596895,0.768340759680551,0.818181818181818,0.715598,0,2,11216362,11214850,1512
10722241,1511.81,1508.22,1512,1460,2.34782608695652,0.81760560714305,0.806763414229701,0.818181818181818,0.748239,0,2,11217874,11216362,1512
10723701,1557.59,1511.81,1560,1460,2.42236024844721,0.842363999199598,0.808683744590713,0.844155844155844,0.797296,0,2,11219434,11217874,1560
10728081,1726.61,1700.21,1728,1460,2.6832298136646,0.933772112467349,0.909460970221507,0.935064935064935,0.924867,0,2,11224498,11222770,1728
10736841,1603.93,1526.52,1608,1460,2.49689440993789,0.867425246204849,0.816552284872183,0.87012987012987,0.728575,0,2,11234866,11233258,1608
10739761,1417.61,1448.2,1416,1460,2.19875776397516,0.76666107827178,0.774658058166218,0.766233766233766,0.722572,0,2,11237722,11236306,1416
10742681,1558.5,1530.08,1560,1460,2.42236024844721,0.842856138491242,0.818456567904272,0.844155844155844,0.774411,0,2,11240818,11239258,1560
10747061,1700.28,1629.54,1704,1460,2.64596273291925,0.919532521754179,0.871658812390678,0.922077922077922,0.912842,0,2,11245738,11244034,1704
10748521,1772.21,1700.28,1776,1460,2.75776397515528,0.958433158290384,0.909498413988991,0.961038961038961,0.947137,0,2,11247514,11245738,1776
10754361,1198.14,1618.74,1176,1460,1.82608695652174,0.647968979000254,0.865881773978721,0.636363636363636,0.423367,0,1,11253922,11252746,1176
10755821,994.707,1198.14,984,1460,1.52795031055901,0.537949888322238,0.640898222490867,0.532467532467533,0.283347,0,1,11254906,11253922,984
