x,y,z
13.6848,0.497247,0.580567
13.4742,0.435091,0.585496
13.29,0.380705,0.591059
13.1287,0.333117,0.597176
12.9876,0.291477,0.603779
12.8642,0.255043,0.610807
12.7561,0.223162,0.618206
12.6616,0.195267,0.62468
12.5789,0.170859,0.630345
12.5066,0.149501,0.624052
12.4432,0.130814,0.619796
12.3878,0.114462,0.616071
12.3394,0.100154,0.612812
12.2969,0.0876349,0.611211
12.2598,0.0766805,0.611059
12.2273,0.0670955,0.612177
12.1989,0.0587085,0.614405
12.1741,0.05137,0.616354
12.1523,0.0449487,0.61806
12.1333,0.0393301,0.619552
12.1166,0.0344139,0.620858
12.102,0.0301121,0.622001
12.0893,0.0263481,0.623001
12.0781,0.0230546,0.623876
12.0684,0.0201728,0.624641
12.0598,0.0176512,0.625311
11.1773,0.0154448,0.628397
11.2802,0.0135142,0.628598
10.1201,0.0118249,0.631273
9.48013,0.0103468,0.631114
9.79511,0.00905345,0.628475
10.0707,0.00792176,0.626165
9.06188,0.00693154,0.626645
9.42915,0.0060651,0.624564
8.5005,0.00530696,0.625244
8.93794,0.00464359,0.623338
9.3207,0.00406314,0.620421
8.40561,0.00355525,0.620368
8.85491,0.00311084,0.617822
9.24805,0.00272199,0.615594
8.34204,0.00238174,0.614895
8.79928,0.00208402,0.611783
8.32437,0.00182352,0.61031
8.78383,131.252,0.606522
9.18585,114.845,0.610706
9.53762,103.49,0.611868
9.84542,90.5533,0.615385
10.1147,82.2342,0.615961
10.3504,71.9549,0.613966
10.5566,65.9605,0.60972
10.737,57.7155,0.608505
10.8949,53.501,0.604942
11.033,46.8134,0.599324
11.1539,40.9617,0.591909
11.2597,40.3415,0.58292
11.3522,35.2988,0.577555
11.4332,30.8865,0.570361
11.504,27.0257,0.561566
11.566,29.6475,0.55137
11.6203,25.9415,0.541199
11.6677,22.6988,0.529799
11.7093,19.8615,0.517324
11.7456,17.3788,0.503909
11.7774,15.2064,0.48967
11.8052,13.3056,0.474711
11.8296,11.6424,0.459122
11.8509,10.1871,0.442982
11.8695,8.91374,0.426359
11.8858,7.79952,0.408064
11.9001,6.82458,0.389556
11.9126,5.97151,0.370862
11.9235,5.22507,0.352004
11.9331,4.57194,0.333004
11.9414,4.00044,0.316378
11.9488,3.50039,0.301831
11.9552,3.06284,0.289102
11.9608,2.67998,0.277964
11.9657,2.34499,0.268219
11.97,2.05186,0.259691
11.9737,1.79538,0.25223
11.977,1.57096,0.245701
11.9799,1.37459,0.239989
11.9824,1.20276,0.23374
11.9846,1.05242,0.228272
11.9865,41.4209,0.223488
11.9882,37.7433,0.221802
11.9897,34.7754,0.217827
10.741,32.1784,0.219349
10.8983,29.6561,0.21818
11.0361,27.6991,0.217158
12.6565,25.7367,0.292513
14.0745,26.3946,0.353449
15.3152,23.0953,0.401768
16.4008,23.2084,0.439047
17.3507,26.3073,0.466666
18.1818,30.5189,0.485833
17.6591,32.7041,0.500104
18.4517,51.1161,0.507591
19.1453,47.7265,0.509142
19.7521,44.7607,0.505499
20.2831,42.1656,0.497312
20.7477,39.8949,0.485148
21.1542,37.9081,0.469504
21.51,34.6696,0.450816
21.8212,33.3359,0.429464
22.0936,32.4189,0.405781
22.3319,28.3665,0.380059
22.5404,24.8207,0.352551
22.7228,21.7181,0.323482
22.8825,19.0034,0.293047
23.0222,16.6279,0.261416
23.1444,14.5494,0.228739
23.2513,12.7308,0.200147
24.4457,9.82981,0.962857
24.39,8.60109,0.95875
24.3412,7.52595,0.955156
24.2986,6.58521,0.952012
24.2613,5.76206,0.95051
24.2286,5.0418,0.949196
24.2,4.41157,0.950547
24.175,3.86013,0.954229
24.0687,8.09789,0.980776
19.0745,4.74683,0.987481
17.4164,3.63429,0.986665
16.7393,3.18001,0.985832
16.1469,2.78251,0.983853
15.6286,2.43469,0.980871
15.175,2.13036,0.977012
14.7781,1.86406,0.974886
14.4309,1.63105,0.968025
14.127,1.42717,0.960772
13.8611,1.24878,0.955675
13.6285,1.09268,0.947466
13.4249,0.956094,0.941533
13.2468,0.836582,0.935091
13.091,0.732009,0.928205
12.9546,0.640508,0.923429
12.8353,0.560445,0.920501
12.7309,0.490389,0.916688
12.6395,0.429091,0.913352
12.5596,0.375454,0.910433
12.4896,0.328522,0.906629
12.4284,0.287457,0.9033
12.3749,0.251525,0.897888
12.328,0.220084,0.893152
12.287,0.192574,0.889008
12.2511,0.168502,0.882882
12.2197,0.147439,0.877522
12.1923,0.129009,0.872831
12.1682,0.112883,0.866228
12.1472,0.0987728,0.860449
12.1288,0.0864262,0.855393
12.1127,0.0756229,0.848469
12.0986,0.0661701,0.84241
12.0863,0.0578988,0.835859
12.0755,0.0506615,0.826377
12.0661,0.0443288,0.819329
12.0578,0.0387877,0.811913
12.0506,0.0339392,0.804174
12.0443,0.0296968,0.793652
12.0387,0.0259847,0.783196
12.0339,0.0227366,0.770296
12.0296,0.0198946,0.757759
12.0259,0.0174077,0.741789
12.0227,0.0152318,0.726566
12.0199,0.0133278,0.714495
12.0174,0.0116618,0.705183
12.0152,0.0102041,0.698285
12.0133,0.00892858,0.6935
12.0116,0.00781251,0.686812
12.0102,0.00683594,0.680961
12.0089,0.00598145,0.677091
12.0078,0.00523377,0.674954
12.0068,0.00457955,0.673085
12.006,0.00400711,0.671449
12.0052,0.00350622,0.670018
12.0046,0.00306794,0.668766
12.004,0.00268445,0.66767
12.0035,0.00234889,0.666711
12.0031,0.00205528,0.665873
12.0027,0.00179837,0.665138
12.0023,0.00157357,0.664496
12.0021,0.00137688,0.663934
12.0018,0.00120477,0.663442
12.0016,0.00105417,0.663012
12.0014,0.0009224,0.662636
12.0012,0.0008071,0.663556
12.0011,0.000706213,0.664362
12.0009,0.000617936,0.665066
12.0008,0.000540694,0.665683
12.0007,115,0.666223
12.0006,100.625,0.666695
12.0005,88.0472,0.667108
12.0005,77.0413,0.66747
12.0004,67.4112,0.667786
12.0004,58.9848,0.668063
12.0003,51.6117,0.668305
12.0003,45.1602,0.668517
12.0002,59.0152,0.668702
12.0002,51.6383,0.668864
12.0002,49.6835,0.669006
12.0002,43.4731,0.671631
12.0001,38.0389,0.673927
12.0001,33.2841,0.675936
11.3751,29.1236,0.677694
11.4532,25.4831,0.676732
11.5216,34.2977,0.673391
11.5814,30.0105,0.679217
