#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
784521,26.7503,26.7503,246,26441,,0.00903604,0,1,14960,14714,246
787441,26.4065,26.4065,246,26441,,0.00913244,0,1,14984,14738,246
790361,26.1057,26.1057,246,26441,,0.0092192,0,1,15008,14762,246
793281,25.8425,25.8425,246,26441,,0.00929728,0,1,15032,14786,246
796201,29.3622,29.3622,246,26441,,0.00836755,0,1,15086,14840,246
799121,28.6919,28.6919,246,26441,,0.00753079,0,1,15110,14864,246
802041,28.1054,28.1054,246,26441,,0.00677771,0,1,15134,14888,246
804961,27.5923,27.5923,246,26441,,0.00609994,0,1,15158,14912,246
807881,27.1432,27.1432,246,26441,,0.00548995,0,1,15182,14936,246
810801,26.7503,26.7503,246,26441,,0.00494095,0,1,15206,14960,246
813721,26.4065,26.4065,246,26441,,0.00444686,0,1,15230,14984,246
816641,26.1057,26.1057,246,26441,,0.00400217,0,1,15254,15008,246
818481,24.7175,25.8425,237,26441,,0.00360196,0,1,15269,15032,237
821401,219.503,219.362,246,26441,,0.00324176,0,1,16852,16606,246
824321,195.065,191.942,270,26521,,0.00391758,0,1,16876,16606,270
827241,173.682,167.949,294,26521,,0.00452583,0,1,16900,16606,294
830161,154.972,146.956,318,26521,,0.00507324,0,1,16924,16606,318
833081,138.6,128.586,342,26521,,0.00556592,0,1,16948,16606,342
836001,124.275,112.513,366,26521,,0.00600933,0,1,16972,16606,366
838921,111.741,98.4487,390,26521,,0.00640839,0,1,16996,16606,390
841841,100.773,86.1426,414,26521,,0.00676755,0,1,17020,16606,414
844761,91.1765,75.3748,438,26521,,0.0070908,0,1,17044,16606,438
847681,86.5294,96.703,246,26521,,0.00638172,0,1,17098,16852,246
850601,78.7133,87.6151,246,26521,,0.00674355,0,1,17122,16876,246
853521,71.8741,79.6632,246,26521,,0.00706919,0,1,17146,16900,246
856441,65.8898,72.7053,246,26521,,0.00736227,0,1,17170,16924,246
859361,60.6536,66.6171,246,26521,,0.00762605,0,1,17194,16948,246
862281,56.0719,61.29,246,26521,,0.00786344,0,1,17218,16972,246
865201,52.0629,56.6287,246,26521,,0.0080771,0,1,17242,16996,246
868121,48.5551,52.5502,246,26521,,0.00826939,0,1,17266,17020,246
871041,45.4857,48.9814,246,26521,,0.00844245,0,1,17290,17044,246
873961,46.55,49.6087,246,26521,,0.0075982,0,1,17344,17098,246
876881,43.7312,46.4076,246,26521,,0.00783838,0,1,17368,17122,246
879801,41.2648,43.6067,246,26521,,0.00805455,0,1,17392,17146,246
882721,39.1067,41.1558,246,26521,,0.00824909,0,1,17416,17170,246
885641,37.2184,39.0114,246,26521,,0.00842418,0,1,17440,17194,246
888561,35.5661,37.1349,246,26521,,0.00858176,0,1,17464,17218,246
891481,34.1203,35.4931,246,26521,,0.00872359,0,1,17488,17242,246
894401,32.8553,34.0564,246,26521,,0.00885123,0,1,17512,17266,246
897321,31.7484,32.7994,246,26521,,0.00896611,0,1,17536,17290,246
900241,34.5298,35.4495,246,26521,,0.00806949,0,1,17590,17344,246
903161,33.2136,34.0183,246,26521,,0.00826255,0,1,17614,17368,246
906081,32.0619,32.766,246,26521,,0.00843629,0,1,17638,17392,246
909001,31.0542,31.6702,246,26521,,0.00859266,0,1,17662,17416,246
911921,30.1724,30.7115,246,26521,,0.0087334,0,1,17686,17440,246
914841,29.4008,29.8725,246,26521,,0.00886006,0,1,17710,17464,246
917761,28.7257,29.1385,246,26521,,0.00897405,0,1,17734,17488,246
920681,28.135,28.4962,246,26521,,0.00907665,0,1,17758,17512,246
923601,27.6181,27.9341,246,26521,,0.00916898,0,1,17782,17536,246
926521,30.9159,31.1924,246,26521,,0.00825208,0,1,17836,17590,246
929441,30.0514,30.2933,246,26521,,0.00842687,0,1,17860,17614,246
932361,29.295,29.5067,246,26521,,0.00858419,0,1,17884,17638,246
935281,28.6331,28.8183,246,26521,,0.00872577,0,1,17908,17662,246
938201,28.054,28.216,246,26521,,0.00885319,0,1,17932,17686,246
941121,27.5472,27.689,246,26521,,0.00896787,0,1,17956,17710,246
944041,27.1038,27.2279,246,26521,,0.00907108,0,1,17980,17734,246
946961,26.7158,26.8244,246,26521,,0.00916398,0,1,18004,17758,246
949881,26.3764,26.4714,246,26521,,0.00924758,0,1,18028,17782,246
952801,29.8293,29.9124,246,26521,,0.00832282,0,1,18082,17836,246
955721,29.1006,29.1734,246,26521,,0.00849054,0,1,18106,17860,246
958641,28.4631,28.5267,246,26521,,0.00864149,0,1,18130,17884,246
961561,27.9052,27.9609,246,26521,,0.00877734,0,1,18154,17908,246
964481,27.417,27.4658,246,26521,,0.0088996,0,1,18178,17932,246
967401,26.9899,27.0325,246,26521,,0.00900964,0,1,18202,17956,246
970321,26.6162,26.6535,246,26521,,0.00910868,0,1,18226,17980,246
973241,26.2891,26.3218,246,26521,,0.00919781,0,1,18250,18004,246
976161,26.003,26.0316,246,26521,,0.00927803,0,1,18274,18028,246
979081,29.5026,29.5276,246,26521,,0.00835023,0,1,18328,18082,246
982001,28.8148,28.8367,246,26521,,0.0085152,0,1,18352,18106,246
984921,28.2129,28.2321,246,26521,,0.00866368,0,1,18376,18130,246
987841,27.6863,27.7031,246,26521,,0.00879731,0,1,18400,18154,246
990761,27.2255,27.2402,246,26521,,0.00891758,0,1,18424,18178,246
993681,26.8223,26.8352,246,26521,,0.00902583,0,1,18448,18202,246
996601,26.4696,26.4808,246,26521,,0.00912324,0,1,18472,18226,246
999521,26.1609,26.1707,246,26521,,0.00921092,0,1,18496,18250,246
1002441,25.8908,25.8993,246,26521,,0.00928983,0,1,18520,18274,246
1005361,29.4044,29.4119,246,26521,,0.00836084,0,1,18574,18328,246
1008281,28.7289,28.7354,246,26521,,0.00852476,0,1,18598,18352,246
1011201,28.1377,28.1435,246,26521,,0.00867228,0,1,18622,18376,246
1014121,27.6205,27.6256,246,26521,,0.00880506,0,1,18646,18400,246
1017041,27.168,27.1724,246,26521,,0.00892455,0,1,18670,18424,246
1019961,26.772,26.7758,246,26521,,0.00903209,0,1,18694,18448,246
1022881,26.4255,26.4288,246,26521,,0.00912889,0,1,18718,18472,246
1025801,26.1223,26.1252,246,26521,,0.009216,0,1,18742,18496,246
1028721,25.857,25.8596,246,26521,,0.0092944,0,1,18766,18520,246
1031641,29.3749,29.3771,246,26521,,0.00836496,0,1,18820,18574,246
1034561,28.703,28.705,246,26521,,0.00852846,0,1,18844,18598,246
1037481,28.1151,28.1169,246,26521,,0.00867562,0,1,18868,18622,246
1040401,27.6007,27.6023,246,26521,,0.00880805,0,1,18892,18646,246
1043321,27.1507,27.152,246,26521,,0.00892725,0,1,18916,18670,246
1046241,26.7568,26.758,246,26521,,0.00903452,0,1,18940,18694,246
1049161,26.4122,26.4132,246,26521,,0.00913107,0,1,18964,18718,246
1052081,26.1107,26.1116,246,26521,,0.00921796,0,1,18988,18742,246
1055001,25.8469,25.8476,246,26521,,0.00929617,0,1,19012,18766,246
1057921,29.366,29.3667,246,26521,,0.00836655,0,1,19066,18820,246
1060841,28.6952,28.6958,246,26521,,0.0085299,0,1,19090,18844,246
1063761,28.1083,28.1089,246,26521,,0.00867691,0,1,19114,18868,246
1066681,27.5948,27.5953,246,26521,,0.00880922,0,1,19138,18892,246
1069601,27.1454,27.1458,246,26521,,0.00892829,0,1,19162,18916,246
1072521,26.7523,26.7526,246,26521,,0.00903546,0,1,19186,18940,246
1075441,26.4082,26.4085,246,26521,,0.00913192,0,1,19210,18964,246
1078361,26.1072,26.1075,246,26521,,0.00921873,0,1,19234,18988,246
1081281,25.8438,25.844,246,26521,,0.00929685,0,1,19258,19012,246
1084201,29.3633,29.3635,246,26521,,0.00836717,0,1,19312,19066,246
